airflow_coefficient,DP_coefficient,DT_coefficient,zone_T_coefficient,occ_coefficient,selector
0.348104888,0.674740254,0.442163937,0.582410246,0.222242352,0
0.347111616,0.676767862,0.649945646,0.547672791,0.228536597,0
0.365365311,0.665932472,0.847767427,0.606646077,0.067821946,0
0.427852766,0.664323899,0.29403299,0.543020524,0.222557008,0
0.304420636,0.68461933,0.72603437,0.698430371,0,0
0.415566208,0.667879135,0.527265321,0.554203079,0.219740321,0
0.455416246,0.573171079,0.531583162,0.589918882,0.228015187,1
0.416559523,0.624130947,0.47245932,0.573750388,0.220396248,0
0.339264278,0.674217944,0.516742463,0.5748724,0.223046335,1
0.351852899,0.663124642,0,0.658638099,0.219740321,0
0.331588608,0.678202712,0.547671606,0.57119279,0.219740321,0
0.427410205,0.675936155,0.616380434,0,1,1
0.355267562,0.671319307,0.280591277,0.610684289,0.211134906,1
0.379050216,0.671600671,0.709404201,0.520807755,0.220239592,0
0.365847374,0.652575596,0.253700361,0.62059377,0.224356877,0
0.357927053,0.643483741,1,0.514605016,0.223626217,1
0.357927053,0.643483741,1,0.514605016,0.223626217,1
0.305556958,0.675273171,0.431596124,0.600659505,0.226545335,1
0.381959715,0.805565997,0.821652857,0.405537337,0.219839816,1
0.359686576,0.670029574,0.418073809,0.583577759,0.220455665,0
0.554871458,0.570958013,0.753123083,0.540352642,0.198994805,0
0,1,0.668814745,0.430053538,0.216726026,1
0.585914314,0.406650582,0.744954867,0.658980499,0.222654274,1
1,0,0.539249832,1,0.251631958,0
0.371988272,0.670602864,0.477330755,0.569339889,0.221945358,0
0.421826314,0.688234199,0.605809073,0.507574968,0.231978739,0
0.352484524,0.670333527,0.686884839,0.539595181,0.220047042,0
0.234278201,0.566367655,0.580567948,0.733899005,0.218843851,0
0.31040833,0.677222358,0.337780982,0.625663723,0.218581079,0
0.361899704,0.669305713,0.367860883,0.589146094,0.221257531,0
0.350849576,0.669796909,0.228418526,0.615229579,0.219737946,1
0.384624564,0.659755853,0.490582139,0.553471872,0.219947796,1
0.378838055,0.66245486,0.503194623,0.555095453,0.217426659,0
0.302690314,0.716893478,0.790273436,0.507817378,0.224740199,0
0.405129116,0.660415263,0.572987438,0.5415553,0.221803161,0
0.33846362,0.679359262,0.33290795,0.600272029,0.220892971,0
0.355406938,0.66760367,0.152847024,0.626515306,0.220127638,1
0.379786298,0.669592106,0.701537001,0.529788888,0.212404746,0
